Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.2-192.168.0.10-21-38098-6,192.168.0.10,38098,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10055987,14,16,73.0,188.0,14.0,0.0,5.2142857142857135,6.302363066325219,34.0,0.0,11.75,14.401388821915754,25.954687491143336,2.983297412775096,346758.1724137931,939834.2195255985,3410631.0,10.0,1.0055323E7,773486.3846153845,1328527.4715841433,3456640.0,1818.0,1.0055987E7,670399.1333333334,1239335.4957465178,3410631.0,163.0,0,0,0,0,448,528,1.3922054592950448,1.5910919534800512,0.0,34.0,8.419354838709674,11.575186660981288,133.98494623655913,0,1,0,0,0,0,0,0,1.0,8.7,5.214285714285714,11.75,0,0,0,0,0,0,14,73,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38084-6,192.168.0.10,38084,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10056360,14,16,74.0,188.0,15.0,0.0,5.2857142857142865,6.426251107504537,34.0,0.0,11.75,14.401388821915754,26.05316436563528,2.9831867594238872,346771.0344827586,939854.5771791916,3410514.0,9.0,1.0055414E7,773493.3846153846,1328537.2854403032,3456425.0,2004.0,1.005636E7,670424.0000000001,1239361.6144403883,3410514.0,312.0,0,0,0,0,448,528,1.3921538210644806,1.5910329383594064,0.0,34.0,8.451612903225804,11.595512665617447,134.45591397849464,0,1,0,0,0,0,0,0,1.0,8.733333333333333,5.285714285714286,11.75,0,0,0,0,0,0,14,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38072-6,192.168.0.10,38072,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10056990,14,16,74.0,188.0,15.0,0.0,5.2857142857142865,6.4142698058981855,34.0,0.0,11.75,14.401388821915754,26.05153231732357,2.9829998836630045,346792.7586206896,939926.0257223763,3410581.0,10.0,1.0055654E7,773511.8461538462,1328647.042335915,3456040.0,1549.0,1.005699E7,670466.0,1239465.5391110547,3410581.0,207.0,0,0,0,0,448,528,1.3920666123760688,1.5909332712869357,0.0,34.0,8.451612903225804,11.592637633939393,134.38924731182794,0,1,0,0,0,0,0,0,1.0,8.733333333333333,5.285714285714286,11.75,0,0,0,0,0,0,14,74,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38122-6,192.168.0.10,38122,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10076065,14,16,77.0,188.0,16.0,0.0,5.500000000000001,6.733955289883788,34.0,0.0,11.75,14.401388821915754,26.29994943462552,2.9773527661840213,347450.5172413793,942086.0157494197,3411211.0,8.0,1.0074971E7,774997.7692307694,1331559.8124302789,3456833.0,1882.0,1.0076065E7,671737.6666666666,1242371.483375568,3411211.0,486.0,0,0,0,0,448,528,1.3894312908858766,1.5879214752981448,0.0,34.0,8.548387096774192,11.644279596086138,135.58924731182793,0,1,0,0,0,0,0,0,1.0,8.833333333333334,5.5,11.75,0,0,0,0,0,0,14,77,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38064-6,192.168.0.10,38064,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10087104,14,16,75.0,188.0,16.0,0.0,5.357142857142857,6.535196340492855,34.0,0.0,11.75,14.401388821915754,26.072894658367755,2.9740944477225573,347831.1724137931,941733.361980945,3409942.0,14.0,1.0085587E7,775814.3846153847,1333380.9661599929,3457338.0,1187.0,1.0087104E7,672473.6,1241701.463375718,3409942.0,343.0,0,0,0,0,448,528,1.3879107422705268,1.5861837054520307,0.0,34.0,8.483870967741934,11.61284050162272,134.85806451612905,0,1,0,0,0,0,0,0,1.0,8.766666666666667,5.357142857142857,11.75,0,0,0,0,0,0,14,75,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38150-6,192.168.0.10,38150,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10106018,14,16,75.0,188.0,16.0,0.0,5.357142857142857,6.535196340492855,34.0,0.0,11.75,14.401388821915754,26.024097720783793,2.9685282571236264,348483.37931034487,942374.1393407251,3410274.0,8.0,1.0104922E7,777301.6923076925,1333737.585575175,3456776.0,709.0,1.0106018E7,673734.5333333332,1242310.9155407494,3410274.0,171.0,0,0,0,0,448,528,1.3853131866576924,1.5832150704659342,0.0,34.0,8.483870967741934,11.61284050162272,134.85806451612902,0,1,0,0,0,0,0,0,1.0,8.766666666666667,5.357142857142857,11.75,0,0,0,0,0,0,14,75,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38188-6,192.168.0.10,38188,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10105933,14,16,73.0,188.0,14.0,0.0,5.2142857142857135,6.302363066325219,34.0,0.0,11.75,14.401388821915754,25.826413058546894,2.9685532251203326,348480.44827586197,942284.6339372494,3409903.0,9.0,1.0104916E7,777301.2307692308,1333690.450513921,3456303.0,855.0,1.0105933E7,673728.8666666667,1242182.1814447502,3409903.0,104.0,0,0,0,0,448,528,1.3853248383894885,1.583228386730844,0.0,34.0,8.419354838709674,11.575186660981288,133.98494623655913,0,1,0,0,0,0,0,0,1.0,8.7,5.214285714285714,11.75,0,0,0,0,0,0,14,73,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38160-6,192.168.0.10,38160,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10106072,14,16,76.0,188.0,15.0,0.0,5.42857142857143,6.618322884401893,34.0,0.0,11.75,14.401388821915754,26.122909078819152,2.9685123953203583,348485.2413793103,942327.7168226506,3410076.0,8.0,1.0105071E7,777313.1538461539,1333727.654003548,3456505.0,892.0,1.0106072E7,673738.1333333332,1242242.2567638308,3410076.0,79.0,0,0,0,0,448,528,1.3853057844828338,1.5832066108375242,0.0,34.0,8.516129032258064,11.624316374858166,135.1247311827957,0,1,0,0,0,0,0,0,1.0,8.8,5.428571428571429,11.75,0,0,0,0,0,0,14,76,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38174-6,192.168.0.10,38174,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10106338,14,16,73.0,188.0,14.0,0.0,5.2142857142857135,6.302363066325219,34.0,0.0,11.75,14.401388821915754,25.825378094419563,2.9684342637263867,348494.4137931034,942304.2695554307,3409652.0,11.0,1.0105128E7,777317.5384615384,1333748.420340309,3456125.0,1189.0,1.0106338E7,673755.8666666667,1242205.070675753,3409652.0,185.0,0,0,0,0,448,528,1.3852693230723137,1.5831649406540729,0.0,34.0,8.419354838709674,11.575186660981288,133.98494623655913,0,1,0,0,0,0,0,0,1.0,8.7,5.214285714285714,11.75,0,0,0,0,0,0,14,73,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.2-192.168.0.10-21-38190-6,192.168.0.10,38190,192.168.0.2,21,6,25/04/2025 08:06:14 PM,10106482,14,16,76.0,188.0,16.0,0.0,5.428571428571428,6.629935441317958,34.0,0.0,11.75,14.401388821915754,26.121849324027888,2.9683919686395326,348499.3793103448,942419.6016819613,3409960.0,13.0,1.0105489E7,777345.3076923076,1333863.5684300316,3456364.0,446.0,1.0106482E7,673765.4666666666,1242372.9839756466,3409960.0,103.0,0,0,0,0,448,528,1.3852495853651152,1.5831423832744174,0.0,34.0,8.516129032258066,11.627183573396541,135.19139784946236,0,1,0,0,0,0,0,0,1.0,8.8,5.428571428571429,11.75,0,0,0,0,0,0,14,76,16,188,-1,91,6,0,0,0,0,0,0,0,0,0,No Label
